row,ip,chars,tokens,link
1,10.156.1.40,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
2,10.156.1.41,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
3,10.156.1.42,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
4,10.156.1.43,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
5,10.156.1.44,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
6,10.156.1.45,470497,157124,"https://disk.yandex.ru/i/TU3CbSzQhknYvw"
7,10.156.1.82,243649,68539,"https://disk.yandex.ru/i/Y5YFcyRfrSTMgw"
8,10.156.1.83,243649,68539,"https://disk.yandex.ru/i/Y5YFcyRfrSTMgw"
9,10.156.1.105,200697,53860,"https://disk.yandex.ru/i/5yMjUBdT8pMTbw"
10,10.156.1.106,200697,53860,"https://disk.yandex.ru/i/5yMjUBdT8pMTbw"
11,10.156.1.107,200697,53860,"https://disk.yandex.ru/i/5yMjUBdT8pMTbw"
13,10.156.1.209,434546,146015,"https://disk.yandex.ru/i/0NCt_dmb_b-aHw"
14,10.156.1.210,434546,146015,"https://disk.yandex.ru/i/0NCt_dmb_b-aHw"
15,10.156.1.211,434546,146015,"https://disk.yandex.ru/i/0NCt_dmb_b-aHw"
35,10.47.27.10,523897,164964,"https://disk.yandex.ru/i/V-oaKIgYAsXS_w"
36,10.47.27.11,523897,164964,"https://disk.yandex.ru/i/V-oaKIgYAsXS_w"
37,10.47.27.12,523897,164964,"https://disk.yandex.ru/i/V-oaKIgYAsXS_w"
44,10.47.29.11,242767,65908,"https://disk.yandex.ru/i/QA_FG6fCufTdxw"
54,10.47.31.18,835965,248916,"https://disk.yandex.ru/i/bAUC1Ld3jQBo9Q"
55,10.47.31.19,246750,73300,"https://disk.yandex.ru/i/YC2umU4GKHP3uA"
59,10.47.32.20,346217,99691,"https://disk.yandex.ru/i/2Pj21VtQ_ydy1A"
60,10.47.32.21,346217,99691,"https://disk.yandex.ru/i/2Pj21VtQ_ydy1A"
61,10.47.32.30,346217,99691,"https://disk.yandex.ru/i/2Pj21VtQ_ydy1A"
65,10.47.33.19,513480,167403,"https://disk.yandex.ru/i/BrGZJlULwAHtqw"
66,10.47.33.20,513480,167403,"https://disk.yandex.ru/i/BrGZJlULwAHtqw"
67,10.47.33.21,513480,167403,"https://disk.yandex.ru/i/BrGZJlULwAHtqw"
71,10.47.34.20,410899,121884,"https://disk.yandex.ru/i/tp8e6MYQJFNA4w"
72,10.47.34.21,410899,121884,"https://disk.yandex.ru/i/tp8e6MYQJFNA4w"
76,10.47.35.20,736937,228312,"https://disk.yandex.ru/i/zGMaDfSb5Te2_w"
80,10.47.36.20,982234,297156,"https://disk.yandex.ru/i/6x1NBtDkAnfKXQ"
